Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","5000","World","5312","Area harvested","236","Soybeans","1961","1961","ha","23818820","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5100","Africa","5312","Area harvested","236","Soybeans","1961","1961","ha","191071","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","236","Soybeans","1961","1961","ha","11013792","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5204","Central America","5312","Area harvested","236","Soybeans","1961","1961","ha","9943","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5207","South America","5312","Area harvested","236","Soybeans","1961","1961","ha","259534","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5300","Asia","5312","Area harvested","236","Soybeans","1961","1961","ha","11615120","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5400","Europe","5312","Area harvested","236","Soybeans","1961","1961","ha","729060","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5500","Oceania","5312","Area harvested","236","Soybeans","1961","1961","ha","300","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","236","Soybeans","1962","1962","ha","23822275","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5100","Africa","5312","Area harvested","236","Soybeans","1962","1962","ha","214994","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","236","Soybeans","1962","1962","ha","11261434","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5204","Central America","5312","Area harvested","236","Soybeans","1962","1962","ha","27326","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5207","South America","5312","Area harvested","236","Soybeans","1962","1962","ha","344333","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5300","Asia","5312","Area harvested","236","Soybeans","1962","1962","ha","11124799","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5400","Europe","5312","Area harvested","236","Soybeans","1962","1962","ha","849053","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5500","Oceania","5312","Area harvested","236","Soybeans","1962","1962","ha","336","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","236","Soybeans","1963","1963","ha","24398949","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5100","Africa","5312","Area harvested","236","Soybeans","1963","1963","ha","220995","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","236","Soybeans","1963","1963","ha","11672267","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5204","Central America","5312","Area harvested","236","Soybeans","1963","1963","ha","27426","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5207","South America","5312","Area harvested","236","Soybeans","1963","1963","ha","385032","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5300","Asia","5312","Area harvested","236","Soybeans","1963","1963","ha","11183915","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5400","Europe","5312","Area harvested","236","Soybeans","1963","1963","ha","908312","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5500","Oceania","5312","Area harvested","236","Soybeans","1963","1963","ha","1002","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","236","Soybeans","1964","1964","ha","25681026","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5100","Africa","5312","Area harvested","236","Soybeans","1964","1964","ha","207945","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","236","Soybeans","1964","1964","ha","12554481","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5204","Central America","5312","Area harvested","236","Soybeans","1964","1964","ha","30629","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5207","South America","5312","Area harvested","236","Soybeans","1964","1964","ha","405866","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5300","Asia","5312","Area harvested","236","Soybeans","1964","1964","ha","11577159","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5400","Europe","5312","Area harvested","236","Soybeans","1964","1964","ha","903273","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5500","Oceania","5312","Area harvested","236","Soybeans","1964","1964","ha","1673","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5000","World","5312","Area harvested","236","Soybeans","1965","1965","ha","25819966","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5100","Africa","5312","Area harvested","236","Soybeans","1965","1965","ha","209964","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5203","Northern America","5312","Area harvested","236","Soybeans","1965","1965","ha","14048240","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5204","Central America","5312","Area harvested","236","Soybeans","1965","1965","ha","27446","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5207","South America","5312","Area harvested","236","Soybeans","1965","1965","ha","491639","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5300","Asia","5312","Area harvested","236","Soybeans","1965","1965","ha","10171991","A","Aggregate, may include official, semi-official, estimated or calculated data"
"QCL","Crops and livestock products","5400","Europe","5312","Area harvested","236","Soybeans","1965","1965","ha","868849","A","Aggregate, may include official, semi-official, estimated or calculated data"
