ID,Experiment,Gene_Model,Log2FoldChange,STRESS
98,1_SRP009826_Elevated_Ozone_Be Sweet 292_Leaf,ALD1 (Glyma.08G180600),3.405014822,Abiotic
98,2_SRP024277_Elevated_Temperature_93B15_Seed_Coat,ALD1 (Glyma.08G180600),NA,Abiotic
98,2_SRP024277_Elevated_Ozone_93B15_Seed_Coat,ALD1 (Glyma.08G180600),NA,Abiotic
98,2_SRP024277_Elevated_Drought_93B15_Seed_Coat,ALD1 (Glyma.08G180600),NA,Abiotic
98,3_SRP031889_1_hour_Fe_deficiency_Clark_Leaf,ALD1 (Glyma.08G180600),NA,Abiotic
98,3_SRP031889_6_hour_Fe_deficiency_Clark_Leaf,ALD1 (Glyma.08G180600),NA,Abiotic
98,3_SRP031889_1_hour_Fe_deficiency_Clark_Root,ALD1 (Glyma.08G180600),-2.11513116,Abiotic
98,3_SRP031889_6_hour_Fe_deficiency_Clark_Root,ALD1 (Glyma.08G180600),1.395927225,Abiotic
98,4_SRP035871_Elevated_Ozone_93B15_Flower,ALD1 (Glyma.08G180600),-2.075117841,Abiotic
98,4_SRP035871_Elevated_Ozone_93B15_Pod,ALD1 (Glyma.08G180600),1.170859487,Abiotic
98,5_SRP041622_Dehydration_1h_Wm82_Root,ALD1 (Glyma.08G180600),1.66847575,Abiotic
98,5_SRP041622_Dehydration_6h_Wm82_Root,ALD1 (Glyma.08G180600),0.975663368,Abiotic
98,5_SRP041622_Dehydration_12h_Wm82_Root,ALD1 (Glyma.08G180600),NA,Abiotic
98,5_SRP041622_Salt_1h_Wm82_Root,ALD1 (Glyma.08G180600),3.030416236,Abiotic
98,5_SRP041622_Salt_6h_Wm82_Root,ALD1 (Glyma.08G180600),8.480647951,Abiotic
98,5_SRP041622_Salt_12h_Wm82_Root,ALD1 (Glyma.08G180600),7.963950869,Abiotic
98,6_SRP045932_Water_Deficit_6h_Benning_Shoot,ALD1 (Glyma.08G180600),1.440118816,Abiotic
