Treatment;Deseq_norm;se;Gene
Leaf_1h;0,79;0,43;Gm.DHDPS-A1
Leaf_6h;1,28;0,14;Gm.DHDPS-A1
Leaf_12h;0,69;0,80;Gm.DHDPS-A1
Leaf_24h;0,95;0,29;Gm.DHDPS-A1
Root_1h;0,56;0,47;Gm.DHDPS-A1
Root_6h;-0,97;0,18;Gm.DHDPS-A1
Root_12h;-1,54;0,28;Gm.DHDPS-A1
Root_24h;-0,99;0,13;Gm.DHDPS-A1
Young_Leaf_1h;0,58;0,52;Gm.DHDPS-A1
Young_Leaf_6h;0,26;0,22;Gm.DHDPS-A1
Young_Leaf_12h;0,86;0,09;Gm.DHDPS-A1
Young_Leaf_24h;0,29;0,19;Gm.DHDPS-A1
Leaf_1h;-0,15;1,27;Gm.DHDPS-B
Leaf_6h;-0,61;0,28;Gm.DHDPS-B
Leaf_12h;1,72;0,10;Gm.DHDPS-B
Leaf_24h;2,06;1,01;Gm.DHDPS-B
Root_1h;0,05;0,10;Gm.DHDPS-B
Root_6h;-1,00;0,51;Gm.DHDPS-B
Root_12h;-0,67;0,44;Gm.DHDPS-B
Root_24h;-0,67;0,15;Gm.DHDPS-B
Young_Leaf_1h;0,08;0,30;Gm.DHDPS-B
Young_Leaf_6h;0,19;0,70;Gm.DHDPS-B
Young_Leaf_12h;1,41;1,19;Gm.DHDPS-B
Young_Leaf_24h;1,60;0,51;Gm.DHDPS-B
Leaf_1h;0,51;;Gm.ACS
Leaf_6h;0,82;0,42;Gm.ACS
Leaf_12h;3,92;2,21;Gm.ACS
Leaf_24h;1,05;;Gm.ACS
Root_1h;2,43;0,81;Gm.ACS
Root_6h;0,63;0,32;Gm.ACS
Root_12h;-1,77;0,89;Gm.ACS
Root_24h;-1,37;1,87;Gm.ACS
Young_Leaf_1h;0,12;;Gm.ACS
Young_Leaf_6h;0,80;0,50;Gm.ACS
Young_Leaf_12h;-0,71;0,33;Gm.ACS
Young_Leaf_24h;-0,30;0,15;Gm.ACS
Leaf_1h;0,12;0,77;Gm.ACO
Leaf_6h;1,41;1,34;Gm.ACO
Leaf_12h;1,06;0,45;Gm.ACO
Leaf_24h;2,23;2,09;Gm.ACO
Root_1h;0,21;1,10;Gm.ACO
Root_6h;-1,25;0,30;Gm.ACO
Root_12h;-2,22;0,63;Gm.ACO
Root_24h;-3,01;1,18;Gm.ACO
Young_Leaf_1h;-0,34;0,92;Gm.ACO
Young_Leaf_6h;3,32;0,27;Gm.ACO
Young_Leaf_12h;0,78;0,35;Gm.ACO
Young_Leaf_24h;0,97;0,58;Gm.ACO
Leaf_1h;3,33;1,36;Gm.ERF1
Leaf_6h;7,27;0,16;Gm.ERF1
Leaf_12h;6,81;0,54;Gm.ERF1
Leaf_24h;6,91;0,39;Gm.ERF1
Root_1h;2,31;0,32;Gm.ERF1
Root_6h;0,10;0,15;Gm.ERF1
Root_12h;-1,24;0,39;Gm.ERF1
Root_24h;-0,45;0,23;Gm.ERF1
Young_Leaf_1h;2,30;0,14;Gm.ERF1
Young_Leaf_6h;6,30;0,30;Gm.ERF1
Young_Leaf_12h;6,92;0,12;Gm.ERF1
Young_Leaf_24h;7,14;0,40;Gm.ERF1
