Treatment;Data;geneid;DHDPS;Type Data
Mean_ZON_1hr_mock;8458;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_ZON_1hr_BA;7982;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_ZON_24hr_mock;7048;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_ZON_24hr_BA;881;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_ZON_24hr_R7A;10664;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Nodules_10dpi;94778;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_3dpi_root_mock;8153;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_3dpi_root_R7A;8216;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_3dpi_shoot_mock;1084;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_3dpi_shoot_R7A;8776;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_AM_15dpi;15139;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_AM_27dpi;17867;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_AM_mock_15d;13614;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Mature_flower;13555;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Immature_flower;8411;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Pod;13902;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Seed;18897;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root;10514;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Leaf;13925;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_AM_mock_27d_P;9108;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_AM_mock_27d;13901;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root_hair_mock_rhizobia;1824;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root_hair_nodC_24hr;1508;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root_hair_R7A_24hr;163;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root_hair_R7A_72hr;1795;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
Mean_Root_hair_mock_NF;1788;LotjaGi1g1v0463600;Lj.DHDPS-A;RAW
