Treatment;Data;geneid;DHDPS;Type Data
Mean_ZON_1hr_mock;0,04;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_ZON_1hr_BA;0,03;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_ZON_24hr_mock;0,03;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_ZON_24hr_BA;0,00;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_ZON_24hr_R7A;0,03;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Nodules_10dpi;0,66;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_3dpi_root_mock;0,08;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_3dpi_root_R7A;0,07;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_3dpi_shoot_mock;0,02;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_3dpi_shoot_R7A;0,18;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_AM_15dpi;0,06;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_AM_27dpi;0,05;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_AM_mock_15d;0,06;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Mature_flower;0,25;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Immature_flower;0,09;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Pod;0,47;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Seed;0,03;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Root;0,07;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Leaf;0,17;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_AM_mock_27d_P;0,03;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_AM_mock_27d;0,06;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Root_hair_mock_rhizobia;0,23;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Root_hair_nodC_24hr;0,04;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Root_hair_R7A_24hr;0,02;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Root_hair_R7A_72hr;0,04;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Root_hair_mock_NF;0,05;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Root_hair_NF_24hr;0,05;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Nodule_primordia_7dpi;0,40;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Nodules_21dpi;0,65;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Root_mock_microbialspectrum;0,09;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_M_loti_R7A_3dpi;0,08;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Bradyrhizobium_elkanii_USDA61_3dpi;0,08;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Sinorhizobium_fredii_HH103_3dpi;0,08;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Pseudomonas_syringae_pv_tomato_DC3000_3dpi;0,01;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_Ralstonia_solanacearum_JS763_3dpi;0,08;LotjaGi1g1v0463600;Lj.DHDPS-A;Normalized
Mean_ZON_1hr_mock;0,03;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_ZON_1hr_BA;0,02;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_ZON_24hr_mock;0,00;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_ZON_24hr_BA;0,02;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_ZON_24hr_R7A;0,02;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_Nodules_10dpi;0,07;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_3dpi_root_mock;0,01;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_3dpi_root_R7A;0,06;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_3dpi_shoot_mock;0,03;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_3dpi_shoot_R7A;0,03;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_AM_15dpi;0,03;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_AM_27dpi;0,02;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_AM_mock_15d;0,03;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_Mature_flower;0,00;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_Immature_flower;0,00;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_Pod;0,00;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
Mean_Seed;0,00;LotjaGi3g1v0431700;Lj.DHDPS-B1;Normalized
