##mtgeav3
##00.reference_dataset
##Mtr.9852.1.S1_at
#rma	MTGEAV3:Benedito_2008:leaf:Leaf-C1	MTGEAV3:Benedito_2008:leaf:Leaf-C2	MTGEAV3:Benedito_2008:leaf:Leaf-C3	MTGEAV3:Benedito_2008:petiole:Petiole-C1	MTGEAV3:Benedito_2008:petiole:Petiole-C2	MTGEAV3:Benedito_2008:petiole:Petiole-C3	MTGEAV3:Benedito_2008:stem:Stem-C1	MTGEAV3:Benedito_2008:stem:Stem-C2	MTGEAV3:Benedito_2008:stem:Stem-C3	MTGEAV3:Benedito_2008:vegbud:VegBud-C1	MTGEAV3:Benedito_2008:vegbud:VegBud-C2	MTGEAV3:Benedito_2008:vegbud:VegBud-C3	MTGEAV3:Benedito_2008:flower:Flower-C1	MTGEAV3:Benedito_2008:flower:Flower-C2	MTGEAV3:Benedito_2008:flower:Flower-C3	MTGEAV3:Benedito_2008:pod:Pod-C1	MTGEAV3:Benedito_2008:pod:Pod-C2	MTGEAV3:Benedito_2008:pod:Pod-C3	MTGEAV3:Verdier_2013:seed:DS-C1	MTGEAV3:Verdier_2013:seed:DS-C2	MTGEAV3:Verdier_2013:seed:DS-C3	MTGEAV3:Benedito_2008:root:Root-C1	MTGEAV3:Benedito_2008:root:Root-C2	MTGEAV3:Benedito_2008:root:Root-C3	MTGEAV3:Gaude_2011:root:RT_LCM_adjacent-C1	MTGEAV3:Gaude_2011:root:RT_LCM_adjacent-C2	MTGEAV3:Gaude_2011:root:RT_LCM_arbuscular-C1	MTGEAV3:Gaude_2011:root:RT_LCM_arbuscular-C2	MTGEAV3:Gaude_2011:root:RT_LCM_cortical-C1	MTGEAV3:Gaude_2011:root:RT_LCM_cortical-C2	MTGEAV3:Benedito_2008:nodule:Nod_4dpi-C1	MTGEAV3:Benedito_2008:nodule:Nod_4dpi-C2	MTGEAV3:Benedito_2008:nodule:Nod_4dpi-C3	MTGEAV3:Benedito_2008:nodule:Nod_14dpi-C1	MTGEAV3:Benedito_2008:nodule:Nod_14dpi-C2	MTGEAV3:Benedito_2008:nodule:Nod_14dpi-C3
Mtr.9852.1.S1_at	1204.28	1028.88	984.909	1042.32	1156.91	1053.94	1421.64	1282.09	1269.38	2020.53	2100.9	2120.1	1118.09	1151.17	1271.27	2041.77	2144.9	2287.54	1382.726374	1327.475626	1336.888395	1350.64	1273.96	1283.13	291.33	124.509	11.0957	14.1815	119.734	132.493	1648.92	1409.15	1456.48	1189.34	932.714	1009.86
#log2_rma	MTGEAV3:Benedito_2008:leaf:Leaf-C1	MTGEAV3:Benedito_2008:leaf:Leaf-C2	MTGEAV3:Benedito_2008:leaf:Leaf-C3	MTGEAV3:Benedito_2008:petiole:Petiole-C1	MTGEAV3:Benedito_2008:petiole:Petiole-C2	MTGEAV3:Benedito_2008:petiole:Petiole-C3	MTGEAV3:Benedito_2008:stem:Stem-C1	MTGEAV3:Benedito_2008:stem:Stem-C2	MTGEAV3:Benedito_2008:stem:Stem-C3	MTGEAV3:Benedito_2008:vegbud:VegBud-C1	MTGEAV3:Benedito_2008:vegbud:VegBud-C2	MTGEAV3:Benedito_2008:vegbud:VegBud-C3	MTGEAV3:Benedito_2008:flower:Flower-C1	MTGEAV3:Benedito_2008:flower:Flower-C2	MTGEAV3:Benedito_2008:flower:Flower-C3	MTGEAV3:Benedito_2008:pod:Pod-C1	MTGEAV3:Benedito_2008:pod:Pod-C2	MTGEAV3:Benedito_2008:pod:Pod-C3	MTGEAV3:Verdier_2013:seed:DS-C1	MTGEAV3:Verdier_2013:seed:DS-C2	MTGEAV3:Verdier_2013:seed:DS-C3	MTGEAV3:Benedito_2008:root:Root-C1	MTGEAV3:Benedito_2008:root:Root-C2	MTGEAV3:Benedito_2008:root:Root-C3	MTGEAV3:Gaude_2011:root:RT_LCM_adjacent-C1	MTGEAV3:Gaude_2011:root:RT_LCM_adjacent-C2	MTGEAV3:Gaude_2011:root:RT_LCM_arbuscular-C1	MTGEAV3:Gaude_2011:root:RT_LCM_arbuscular-C2	MTGEAV3:Gaude_2011:root:RT_LCM_cortical-C1	MTGEAV3:Gaude_2011:root:RT_LCM_cortical-C2	MTGEAV3:Benedito_2008:nodule:Nod_4dpi-C1	MTGEAV3:Benedito_2008:nodule:Nod_4dpi-C2	MTGEAV3:Benedito_2008:nodule:Nod_4dpi-C3	MTGEAV3:Benedito_2008:nodule:Nod_14dpi-C1	MTGEAV3:Benedito_2008:nodule:Nod_14dpi-C2	MTGEAV3:Benedito_2008:nodule:Nod_14dpi-C3
Mtr.9852.1.S1_at	10.2351526242179	10.0082605313031	9.94531068089374	10.0269660039837	10.1773074070742	10.0429452322542	10.4743549177685	10.3254066538424	10.3110443896234	10.9812318983781	11.0374783179318	11.0505969234953	10.1281103507641	10.1701378834409	10.3131891552258	10.9963110616462	11.0673671320214	11.160211792811	10.4343429690373	10.3755560431104	10.3857420578197	10.4004952355618	10.3162362700153	10.3265755469834	8.19145408128725	6.97164701044336	3.59642235798826	3.92424243739629	6.91568820160922	7.06062028277325	10.6881803585869	10.4616329173188	10.5092603711076	10.2171579979041	9.86683690462686	9.9813674883406

##mtgeav3
##00.reference_dataset
##Mtr.9938.1.S1_at
#rma	MTGEAV3:Benedito_2008:leaf:Leaf-C1	MTGEAV3:Benedito_2008:leaf:Leaf-C2	MTGEAV3:Benedito_2008:leaf:Leaf-C3	MTGEAV3:Benedito_2008:petiole:Petiole-C1	MTGEAV3:Benedito_2008:petiole:Petiole-C2	MTGEAV3:Benedito_2008:petiole:Petiole-C3	MTGEAV3:Benedito_2008:stem:Stem-C1	MTGEAV3:Benedito_2008:stem:Stem-C2	MTGEAV3:Benedito_2008:stem:Stem-C3	MTGEAV3:Benedito_2008:vegbud:VegBud-C1	MTGEAV3:Benedito_2008:vegbud:VegBud-C2	MTGEAV3:Benedito_2008:vegbud:VegBud-C3	MTGEAV3:Benedito_2008:flower:Flower-C1	MTGEAV3:Benedito_2008:flower:Flower-C2	MTGEAV3:Benedito_2008:flower:Flower-C3	MTGEAV3:Benedito_2008:pod:Pod-C1	MTGEAV3:Benedito_2008:pod:Pod-C2	MTGEAV3:Benedito_2008:pod:Pod-C3	MTGEAV3:Verdier_2013:seed:DS-C1	MTGEAV3:Verdier_2013:seed:DS-C2	MTGEAV3:Verdier_2013:seed:DS-C3	MTGEAV3:Benedito_2008:root:Root-C1	MTGEAV3:Benedito_2008:root:Root-C2	MTGEAV3:Benedito_2008:root:Root-C3	MTGEAV3:Gaude_2011:root:RT_LCM_adjacent-C1	MTGEAV3:Gaude_2011:root:RT_LCM_adjacent-C2	MTGEAV3:Gaude_2011:root:RT_LCM_arbuscular-C1	MTGEAV3:Gaude_2011:root:RT_LCM_arbuscular-C2	MTGEAV3:Gaude_2011:root:RT_LCM_cortical-C1	MTGEAV3:Gaude_2011:root:RT_LCM_cortical-C2	MTGEAV3:Benedito_2008:nodule:Nod_4dpi-C1	MTGEAV3:Benedito_2008:nodule:Nod_4dpi-C2	MTGEAV3:Benedito_2008:nodule:Nod_4dpi-C3	MTGEAV3:Benedito_2008:nodule:Nod_14dpi-C1	MTGEAV3:Benedito_2008:nodule:Nod_14dpi-C2	MTGEAV3:Benedito_2008:nodule:Nod_14dpi-C3
Mtr.9938.1.S1_at	78.8208	77.2142	76.2342	88.5102	111.954	88.3014	163.695	138.25	144.229	377.431	330.865	345.817	158.985	188.14	190.193	245.988	302.338	282.371	115.317265	132.061467	134.039827	223.967	181.333	174.025	23.3661	39.4812	12.0448	27.813	14.5544	34.0071	302.103	247.452	251.387	190.195	126.752	120.423
#log2_rma	MTGEAV3:Benedito_2008:leaf:Leaf-C1	MTGEAV3:Benedito_2008:leaf:Leaf-C2	MTGEAV3:Benedito_2008:leaf:Leaf-C3	MTGEAV3:Benedito_2008:petiole:Petiole-C1	MTGEAV3:Benedito_2008:petiole:Petiole-C2	MTGEAV3:Benedito_2008:petiole:Petiole-C3	MTGEAV3:Benedito_2008:stem:Stem-C1	MTGEAV3:Benedito_2008:stem:Stem-C2	MTGEAV3:Benedito_2008:stem:Stem-C3	MTGEAV3:Benedito_2008:vegbud:VegBud-C1	MTGEAV3:Benedito_2008:vegbud:VegBud-C2	MTGEAV3:Benedito_2008:vegbud:VegBud-C3	MTGEAV3:Benedito_2008:flower:Flower-C1	MTGEAV3:Benedito_2008:flower:Flower-C2	MTGEAV3:Benedito_2008:flower:Flower-C3	MTGEAV3:Benedito_2008:pod:Pod-C1	MTGEAV3:Benedito_2008:pod:Pod-C2	MTGEAV3:Benedito_2008:pod:Pod-C3	MTGEAV3:Verdier_2013:seed:DS-C1	MTGEAV3:Verdier_2013:seed:DS-C2	MTGEAV3:Verdier_2013:seed:DS-C3	MTGEAV3:Benedito_2008:root:Root-C1	MTGEAV3:Benedito_2008:root:Root-C2	MTGEAV3:Benedito_2008:root:Root-C3	MTGEAV3:Gaude_2011:root:RT_LCM_adjacent-C1	MTGEAV3:Gaude_2011:root:RT_LCM_adjacent-C2	MTGEAV3:Gaude_2011:root:RT_LCM_arbuscular-C1	MTGEAV3:Gaude_2011:root:RT_LCM_arbuscular-C2	MTGEAV3:Gaude_2011:root:RT_LCM_cortical-C1	MTGEAV3:Gaude_2011:root:RT_LCM_cortical-C2	MTGEAV3:Benedito_2008:nodule:Nod_4dpi-C1	MTGEAV3:Benedito_2008:nodule:Nod_4dpi-C2	MTGEAV3:Benedito_2008:nodule:Nod_4dpi-C3	MTGEAV3:Benedito_2008:nodule:Nod_14dpi-C1	MTGEAV3:Benedito_2008:nodule:Nod_14dpi-C2	MTGEAV3:Benedito_2008:nodule:Nod_14dpi-C3
