ID,Experiment,Gene_Model,Log2FoldChange,STRESS
105,1_SRP009826_Elevated_Ozone_Be Sweet 292_Leaf,LKR/SDH (Glyma.17G044300),1.46946455,Abiotic
105,2_SRP024277_Elevated_Temperature_93B15_Seed_Coat,LKR/SDH (Glyma.17G044300),0.119802091,Abiotic
105,2_SRP024277_Elevated_Ozone_93B15_Seed_Coat,LKR/SDH (Glyma.17G044300),0.021872348,Abiotic
105,2_SRP024277_Elevated_Drought_93B15_Seed_Coat,LKR/SDH (Glyma.17G044300),-0.078070496,Abiotic
105,3_SRP031889_1_hour_Fe_deficiency_Clark_Leaf,LKR/SDH (Glyma.17G044300),0.045667984,Abiotic
105,3_SRP031889_6_hour_Fe_deficiency_Clark_Leaf,LKR/SDH (Glyma.17G044300),-0.205848658,Abiotic
105,3_SRP031889_1_hour_Fe_deficiency_Clark_Root,LKR/SDH (Glyma.17G044300),0.113854364,Abiotic
105,3_SRP031889_6_hour_Fe_deficiency_Clark_Root,LKR/SDH (Glyma.17G044300),-0.283076822,Abiotic
105,4_SRP035871_Elevated_Ozone_93B15_Flower,LKR/SDH (Glyma.17G044300),-0.781810667,Abiotic
105,4_SRP035871_Elevated_Ozone_93B15_Pod,LKR/SDH (Glyma.17G044300),-0.258210296,Abiotic
105,5_SRP041622_Dehydration_1h_Wm82_Root,LKR/SDH (Glyma.17G044300),2.460035971,Abiotic
105,5_SRP041622_Dehydration_6h_Wm82_Root,LKR/SDH (Glyma.17G044300),0.3432321,Abiotic
105,5_SRP041622_Dehydration_12h_Wm82_Root,LKR/SDH (Glyma.17G044300),0.483525108,Abiotic
105,5_SRP041622_Salt_1h_Wm82_Root,LKR/SDH (Glyma.17G044300),0.50640511,Abiotic
105,5_SRP041622_Salt_6h_Wm82_Root,LKR/SDH (Glyma.17G044300),1.155027214,Abiotic
105,5_SRP041622_Salt_12h_Wm82_Root,LKR/SDH (Glyma.17G044300),1.213046906,Abiotic
105,6_SRP045932_Water_Deficit_6h_Benning_Shoot,LKR/SDH (Glyma.17G044300),5.761104348,Abiotic
105,6_SRP045932_Water_Deficit_12h_Benning_Shoot,LKR/SDH (Glyma.17G044300),6.395712204,Abiotic
105,6_SRP045932_Water_Deficit_24h_Benning_Shoot,LKR/SDH (Glyma.17G044300),9.044501753,Abiotic
105,6_SRP045932_Water_Deficit_6h_PI416937_Shoot,LKR/SDH (Glyma.17G044300),3.048215121,Abiotic
105,6_SRP045932_Water_Deficit_12h_PI416937_Shoot,LKR/SDH (Glyma.17G044300),5.640039898,Abiotic
105,6_SRP045932_Water_Deficit_24h_PI416937_Shoot,LKR/SDH (Glyma.17G044300),7.340643019,Abiotic
105,7_SRP050050_Ethylene_12h_Wm82_Leaf_Abscicic_Zone,LKR/SDH (Glyma.17G044300),4.817350013,Abiotic
105,7_SRP050050_Ethylene_24h_Wm82_Leaf_Abscicic_Zone,LKR/SDH (Glyma.17G044300),8.744448958,Abiotic
105,7_SRP050050_Ethylene_48h_Wm82_Leaf_Abscicic_Zone,LKR/SDH (Glyma.17G044300),9.636181658,Abiotic
105,7_SRP050050_Ethylene_72h_Wm82_Leaf_Abscicic_Zone,LKR/SDH (Glyma.17G044300),10.0421026,Abiotic
105,7_SRP050050_Ethylene_12h_Wm82_Leaf_Leaf_Petiole,LKR/SDH (Glyma.17G044300),1.391795279,Abiotic
105,7_SRP050050_Ethylene_24h_Wm82_Leaf_Leaf_Petiole,LKR/SDH (Glyma.17G044300),5.669793235,Abiotic
105,7_SRP050050_Ethylene_48h_Wm82_Leaf_Leaf_Petiole,LKR/SDH (Glyma.17G044300),7.619449472,Abiotic
105,7_SRP050050_Ethylene_72h_Wm82_Leaf_Leaf_Petiole,LKR/SDH (Glyma.17G044300),8.037734996,Abiotic
105,8_SRP076153_Drought_Wm82_Leaf,LKR/SDH (Glyma.17G044300),0.10423942,Abiotic
105,8_SRP076153_Flooding_Wm82_Leaf,LKR/SDH (Glyma.17G044300),1.430393686,Abiotic
105,9_SRP058975_water_deficit_4h_BR16_Leaves,LKR/SDH (Glyma.17G044300),0.151649343,Abiotic
105,9_SRP058975_water_deficit_8h_BR16_Leaves,LKR/SDH (Glyma.17G044300),0.405334648,Abiotic
105,9_SRP058975_water_deficit_12h_BR16_Leaves,LKR/SDH (Glyma.17G044300),0.958728805,Abiotic
105,9_SRP058975_water_deficit_16h_BR16_Leaves,LKR/SDH (Glyma.17G044300),0.248976455,Abiotic
105,9_SRP058975_water_deficit_20h_BR16_Leaves,LKR/SDH (Glyma.17G044300),0.312539272,Abiotic
105,10_SRP064384_Effect_CO2_No_Drought_Embrapa48_Root,LKR/SDH (Glyma.17G044300),0.021696846,Abiotic
105,10_SRP064384_Effect_CO2_50min_Drought_Embrapa48_Root,LKR/SDH (Glyma.17G044300),-0.092665643,Abiotic
105,10_SRP064384_Effect_Drought_Ambient_CO2_Embrapa48_Root,LKR/SDH (Glyma.17G044300),-0.042778785,Abiotic
105,10_SRP064384_Effect_Drought_Elevated_CO2_Embrapa48_Root,LKR/SDH (Glyma.17G044300),-0.14457621,Abiotic
105,10_SRP064384_mixedEffect_SRP064384_A0_E50_Embrapa48_Root,LKR/SDH (Glyma.17G044300),-0.11854924,Abiotic
105,10_SRP064384_mixedEffect_SRP064384_E0_A50_Embrapa48_Root,LKR/SDH (Glyma.17G044300),-0.071036014,Abiotic
105,11_SRP105922-965_Drought_Wm82_Root,LKR/SDH (Glyma.17G044300),-0.781128239,Abiotic
105,11_SRP105922-965_HIghCO2_Wm82_Root,LKR/SDH (Glyma.17G044300),-1.622236636,Abiotic
105,11_SRP105922-965_HIghpH_Wm82_Root,LKR/SDH (Glyma.17G044300),-0.793620699,Abiotic
105,11_SRP105922-965_HIghT_Wm82_Root,LKR/SDH (Glyma.17G044300),-0.724101855,Abiotic
105,11_SRP105922-965_lowpH_Wm82_Root,LKR/SDH (Glyma.17G044300),-1.165893581,Abiotic
105,11_SRP105922-965_lowT_Wm82_Root,LKR/SDH (Glyma.17G044300),-0.756662785,Abiotic
105,11_SRP105922-965_Salinity_Wm82_Root,LKR/SDH (Glyma.17G044300),0.132576235,Abiotic
105,11_SRP105922-965_minusFe_Wm82_Root,LKR/SDH (Glyma.17G044300),-0.720887915,Abiotic
105,11_SRP105922-965_minusK_Wm82_Root,LKR/SDH (Glyma.17G044300),-0.487815249,Abiotic
105,11_SRP105922-965_minusN_Wm82_Root,LKR/SDH (Glyma.17G044300),-0.424205431,Abiotic
105,11_SRP105922-965_minusP_Wm82_Root,LKR/SDH (Glyma.17G044300),-0.335607593,Abiotic
105,12_SRP132150_Salt_1h_C08_Leaf,LKR/SDH (Glyma.17G044300),-0.233324866,Abiotic
105,12_SRP132150_Salt_2h_C08_Leaf,LKR/SDH (Glyma.17G044300),0.811127559,Abiotic
105,12_SRP132150_Salt_4h_C08_Leaf,LKR/SDH (Glyma.17G044300),2.037682316,Abiotic
105,12_SRP132150_Salt_24h_C08_Leaf,LKR/SDH (Glyma.17G044300),4.027521849,Abiotic
105,12_SRP132150_Salt_48h_C08_Leaf,LKR/SDH (Glyma.17G044300),5.320673144,Abiotic
105,12_SRP132150_Salt_1h_C08_Root,LKR/SDH (Glyma.17G044300),-0.194190503,Abiotic
105,12_SRP132150_Salt_2h_C08_Root,LKR/SDH (Glyma.17G044300),-0.129912731,Abiotic
105,12_SRP132150_Salt_4h_C08_Root,LKR/SDH (Glyma.17G044300),1.169152824,Abiotic
