ID,Experiment,Gene_Model,Log2FoldChange,STRESS
24,1_SRP009826_Elevated_Ozone_Be Sweet 292_Leaf,HSDH (Glyma.20G053200),0.239308275,Abiotic
24,2_SRP024277_Elevated_Temperature_93B15_Seed_Coat,HSDH (Glyma.20G053200),-0.053779294,Abiotic
24,2_SRP024277_Elevated_Ozone_93B15_Seed_Coat,HSDH (Glyma.20G053200),-0.098586895,Abiotic
24,2_SRP024277_Elevated_Drought_93B15_Seed_Coat,HSDH (Glyma.20G053200),-0.034819067,Abiotic
24,3_SRP031889_1_hour_Fe_deficiency_Clark_Leaf,HSDH (Glyma.20G053200),0.158775586,Abiotic
24,3_SRP031889_6_hour_Fe_deficiency_Clark_Leaf,HSDH (Glyma.20G053200),-0.231453054,Abiotic
24,3_SRP031889_1_hour_Fe_deficiency_Clark_Root,HSDH (Glyma.20G053200),-0.257358931,Abiotic
24,3_SRP031889_6_hour_Fe_deficiency_Clark_Root,HSDH (Glyma.20G053200),-0.247604687,Abiotic
24,4_SRP035871_Elevated_Ozone_93B15_Flower,HSDH (Glyma.20G053200),0.140975586,Abiotic
24,4_SRP035871_Elevated_Ozone_93B15_Pod,HSDH (Glyma.20G053200),-0.02657491,Abiotic
24,5_SRP041622_Dehydration_1h_Wm82_Root,HSDH (Glyma.20G053200),0.448963938,Abiotic
24,5_SRP041622_Dehydration_6h_Wm82_Root,HSDH (Glyma.20G053200),0.213345657,Abiotic
24,5_SRP041622_Dehydration_12h_Wm82_Root,HSDH (Glyma.20G053200),0.182201433,Abiotic
24,5_SRP041622_Salt_1h_Wm82_Root,HSDH (Glyma.20G053200),-0.028900987,Abiotic
24,5_SRP041622_Salt_6h_Wm82_Root,HSDH (Glyma.20G053200),-0.340223662,Abiotic
24,5_SRP041622_Salt_12h_Wm82_Root,HSDH (Glyma.20G053200),0.106916657,Abiotic
24,6_SRP045932_Water_Deficit_6h_Benning_Shoot,HSDH (Glyma.20G053200),-2.11409504,Abiotic
24,6_SRP045932_Water_Deficit_12h_Benning_Shoot,HSDH (Glyma.20G053200),-1.250038064,Abiotic
