Treatment;Mean_log2;se;Gene
Leaf_28d;10,06;0,08801864;Medtr1g088775
Leaf_28d;6,29;0,013844401;Medtr7g075090
Leaf_28d;8,53;0,090108773;Medtr8g036040
Leaf_28d;5,35;0,10214475;Medtr8g036035  
Leaf_28d;4,88;0,143873229;Medtr8g036020
Leaf_28d;3,06;0,095206129;Medtr8g036050
Petiole_28d;10,08;0,047674281;Medtr1g088775
Petiole_28d;6,59;0,112436212;Medtr7g075090
Petiole_28d;8,94;0,053195341;Medtr8g036040
Petiole_28d;7,50;0,104652045;Medtr8g036035  
Petiole_28d;5,64;0,119207758;Medtr8g036020
Petiole_28d;3,03;0,07582304;Medtr8g036050
Stem_28d;10,37;0,052208018;Medtr1g088775
Stem_28d;7,22;0,072736531;Medtr7g075090
Stem_28d;8,78;0,27518682;Medtr8g036040
Stem_28d;7,89;0,122005422;Medtr8g036035  
Stem_28d;6,68;0,119813333;Medtr8g036020
Stem_28d;3,11;0,132736167;Medtr8g036050
VegBud_28d;11,02;0,021275004;Medtr1g088775
VegBud_28d;8,46;0,055661171;Medtr7g075090
VegBud_28d;9,44;0,130399302;Medtr8g036040
VegBud_28d;6,74;0,116885503;Medtr8g036035  
VegBud_28d;5,55;0,107071052;Medtr8g036020
VegBud_28d;3,16;0,045703429;Medtr8g036050
Flower_28d;10,20;0,056017926;Medtr1g088775
Flower_28d;7,49;0,083223361;Medtr7g075090
Flower_28d;9,73;0,122164175;Medtr8g036040
Flower_28d;5,85;0,23181698;Medtr8g036035  
Flower_28d;6,44;0,146954677;Medtr8g036020
Flower_28d;3,02;0,041782993;Medtr8g036050
Pod_28d;11,07;0,04745322;Medtr1g088775
Pod_28d;8,11;0,087196138;Medtr7g075090
Pod_28d;9,47;0,08391514;Medtr8g036040
Pod_28d;4,71;0,283496198;Medtr8g036035  
Pod_28d;4,76;0,156845151;Medtr8g036020
Pod_28d;2,99;0,074702614;Medtr8g036050
Dry_Seed_28d;10,40;0,018137907;Medtr1g088775
Dry_Seed_28d;7,00;0,068500867;Medtr7g075090
Dry_Seed_28d;6,58;0,032029709;Medtr8g036040
Dry_Seed_28d;8,92;0,031854328;Medtr8g036035  
Dry_Seed_28d;9,14;0,028863359;Medtr8g036020
Dry_Seed_28d;2,71;0,02017425;Medtr8g036050
Root_28d;10,35;0,026531527;Medtr1g088775
Root_28d;7,59;0,112182774;Medtr7g075090
Root_28d;7,44;0,046051527;Medtr8g036040
Root_28d;9,45;0,141322209;Medtr8g036035  
Root_28d;10,33;0,122301905;Medtr8g036020
Root_28d;3,91;0,105454901;Medtr8g036050
